"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ET000063500","1987-08-17","6.083","37.633","1290.0","ARBA MINCH, ET","  305",",,Q","  190",",,Q"
"ET000063500","1987-08-18","6.083","37.633","1290.0","ARBA MINCH, ET","  293",",,Q","  190",",,Q"
"ET000063500","1987-08-19","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  194",",,Q"
"ET000063500","1987-08-20","6.083","37.633","1290.0","ARBA MINCH, ET","  285",",,Q","  190",",,Q"
"ET000063500","1987-08-21","6.083","37.633","1290.0","ARBA MINCH, ET","  265",",,Q","  186",",,Q"
"ET000063500","1987-08-22","6.083","37.633","1290.0","ARBA MINCH, ET","  280",",,Q","  198",",,Q"
"ET000063500","1987-08-23","6.083","37.633","1290.0","ARBA MINCH, ET","  286",",,Q","  182",",,Q"
"ET000063500","1987-08-24","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  186",",,Q"
"ET000063500","1987-08-25","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  165",",,Q"
"ET000063500","1987-08-26","6.083","37.633","1290.0","ARBA MINCH, ET","  306",",,Q","  206",",,Q"
"ET000063500","1987-08-27","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  180",",,Q"
"ET000063500","1987-08-28","6.083","37.633","1290.0","ARBA MINCH, ET","  310",",,Q","  190",",,Q"
"ET000063500","1987-08-29","6.083","37.633","1290.0","ARBA MINCH, ET","  299",",,Q","  185",",,Q"
"ET000063500","1987-08-30","6.083","37.633","1290.0","ARBA MINCH, ET","  308",",,Q","  205",",,Q"
"ET000063500","1987-08-31","6.083","37.633","1290.0","ARBA MINCH, ET","  314",",,Q","  214",",,Q"
"ET000063500","1987-09-01","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  180",",,Q"
"ET000063500","1987-09-02","6.083","37.633","1290.0","ARBA MINCH, ET","  297",",,Q","  206",",,Q"
"ET000063500","1987-09-03","6.083","37.633","1290.0","ARBA MINCH, ET","  321",",,Q","  205",",,Q"
"ET000063500","1987-09-04","6.083","37.633","1290.0","ARBA MINCH, ET","  307",",,Q","  171",",,Q"
"ET000063500","1987-09-05","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  184",",,Q"
"ET000063500","1987-09-06","6.083","37.633","1290.0","ARBA MINCH, ET","  308",",,Q","  182",",,Q"
"ET000063500","1987-09-07","6.083","37.633","1290.0","ARBA MINCH, ET","  309",",,Q","  176",",,Q"
"ET000063500","1987-09-08","6.083","37.633","1290.0","ARBA MINCH, ET","  310",",,Q","  165",",,Q"
"ET000063500","1987-09-09","6.083","37.633","1290.0","ARBA MINCH, ET","  322",",,Q","  184",",,Q"
"ET000063500","1987-09-10","6.083","37.633","1290.0","ARBA MINCH, ET","  325",",,Q","  185",",,Q"
"ET000063500","1987-09-11","6.083","37.633","1290.0","ARBA MINCH, ET","  317",",,Q","  200",",,Q"
"ET000063500","1987-09-12","6.083","37.633","1290.0","ARBA MINCH, ET","  330",",,Q","  186",",,Q"
"ET000063500","1987-09-13","6.083","37.633","1290.0","ARBA MINCH, ET","  326",",,Q","  210",",,Q"
"ET000063500","1987-09-14","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  210",",,Q"
"ET000063500","1987-09-15","6.083","37.633","1290.0","ARBA MINCH, ET","  302",",,Q","  175",",,Q"
"ET000063500","1987-09-16","6.083","37.633","1290.0","ARBA MINCH, ET","  325",",,Q","  194",",,Q"
"ET000063500","1987-09-17","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  200",",,Q"
"ET000063500","1987-09-18","6.083","37.633","1290.0","ARBA MINCH, ET","  314",",,Q","  200",",,Q"
"ET000063500","1987-09-19","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  174",",,Q"
"ET000063500","1987-09-20","6.083","37.633","1290.0","ARBA MINCH, ET","  302",",,Q","  196",",,Q"
"ET000063500","1987-09-21","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  206",",,Q"
"ET000063500","1987-09-22","6.083","37.633","1290.0","ARBA MINCH, ET","  332",",,Q","  182",",,Q"
"ET000063500","1987-09-23","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  184",",,Q"
"ET000063500","1987-09-24","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  194",",,Q"
"ET000063500","1987-09-25","6.083","37.633","1290.0","ARBA MINCH, ET","  306",",,Q","  195",",,Q"
"ET000063500","1987-09-26","6.083","37.633","1290.0","ARBA MINCH, ET","  273",",,Q","  190",",,Q"
"ET000063500","1987-09-27","6.083","37.633","1290.0","ARBA MINCH, ET","  316",",,Q","  188",",,Q"
"ET000063500","1987-09-28","6.083","37.633","1290.0","ARBA MINCH, ET","  296",",,Q","  200",",,Q"
"ET000063500","1987-09-29","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  180",",,Q"
"ET000063500","1987-09-30","6.083","37.633","1290.0","ARBA MINCH, ET","  313",",,Q","  210",",,Q"
"ET000063500","1987-10-01","6.083","37.633","1290.0","ARBA MINCH, ET","  294",",,Q","  185",",,Q"
"ET000063500","1987-10-02","6.083","37.633","1290.0","ARBA MINCH, ET","  310",",,Q","  175",",,Q"
"ET000063500","1987-10-03","6.083","37.633","1290.0","ARBA MINCH, ET","  315",",,Q","  170",",,Q"
"ET000063500","1987-10-04","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  200",",,Q"
"ET000063500","1987-10-05","6.083","37.633","1290.0","ARBA MINCH, ET","  288",",,Q","  175",",,Q"
"ET000063500","1987-10-06","6.083","37.633","1290.0","ARBA MINCH, ET","  317",",,Q","  180",",,Q"
"ET000063500","1987-10-07","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  192",",,Q"
